run_date,run_id,run_timestamp,market,residential_sector,market_article_count,high_priority_count,market_signal_count,average_relevance_score,dominant_strategic_angle,dominant_market_signal,regional_risk_or_opportunity,woomi_market_relevance,recommended_market_action
2026-09-14,20260914-004732-eb0e0fc0,2026-09-14 00:47:32,California,Affordable Housing,15,14,8,91.5,Developer Strategy,Rent Growth Signal,Developer capability / execution signal,Core Watch Market,Track LA / California entitlement and zoning updates
2026-09-14,20260914-004732-eb0e0fc0,2026-09-14 00:47:32,Los Angeles,Affordable Housing,9,8,4,90.4,Developer Strategy,Rent Growth Signal,Developer capability / execution signal,Core Watch Market,Track LA / California entitlement and zoning updates
2026-09-14,20260914-004732-eb0e0fc0,2026-09-14 00:47:32,National / Other,Multifamily,33,18,8,70.9,Developer Strategy,Deal Size Signal,Institutional capital pricing signal,General Monitoring,Track institutional capital activity
2026-09-14,20260914-004732-eb0e0fc0,2026-09-14 00:47:32,Florida,Apartment,9,6,3,83.1,Developer Strategy,Financing Cost Signal,Financing-sensitive development environment,Strategic Watch Market,Review development underwriting assumptions
2026-09-14,20260914-004732-eb0e0fc0,2026-09-14 00:47:32,Texas,BTR / Single-Family Rental,5,5,5,88.8,Financing Risk,Rent Growth Signal,Financing-sensitive development environment,Strategic Watch Market,Review development underwriting assumptions
2026-09-14,20260914-004732-eb0e0fc0,2026-09-14 00:47:32,Southeast,Apartment,8,5,3,75.2,Developer Strategy,Rent Growth Signal,Developer capability / execution signal,Strategic Watch Market,Watch GP / developer partnership opportunities
2026-09-14,20260914-004732-eb0e0fc0,2026-09-14 00:47:32,Dallas,BTR / Single-Family Rental,4,4,4,90.5,Financing Risk,Supply / Starts Signal,Financing-sensitive development environment,Strategic Watch Market,Review development underwriting assumptions
2026-09-14,20260914-004732-eb0e0fc0,2026-09-14 00:47:32,New York,Apartment,3,3,3,91.7,Financing Risk,Rent Growth Signal,Financing-sensitive development environment,General Monitoring,Review development underwriting assumptions
2026-09-14,20260914-004732-eb0e0fc0,2026-09-14 00:47:32,Seattle,Apartment,3,3,2,90.7,Institutional Flow,Financing Cost Signal,Financing-sensitive development environment,Strategic Watch Market,Review development underwriting assumptions
2026-09-14,20260914-004732-eb0e0fc0,2026-09-14 00:47:32,Arizona,Mixed-Use Residential,4,3,1,78.8,Developer Strategy,Supply / Starts Signal,Supply pressure / lease-up risk,Strategic Watch Market,Monitor supply pipeline and concessions
2026-09-14,20260914-004732-eb0e0fc0,2026-09-14 00:47:32,Phoenix,Mixed-Use Residential,4,3,1,78.8,Developer Strategy,Supply / Starts Signal,Supply pressure / lease-up risk,Strategic Watch Market,Monitor supply pipeline and concessions
2026-09-14,20260914-004732-eb0e0fc0,2026-09-14 00:47:32,Austin,General Residential,0,0,0,0,None detected,None detected,General market monitoring,Low Priority,Monitor only
2026-09-14,20260914-004732-eb0e0fc0,2026-09-14 00:47:32,Sun Belt,General Residential,0,0,0,0,None detected,None detected,General market monitoring,Low Priority,Monitor only
