run_date,run_id,run_timestamp,residential_sector,article_count,high_priority_count,market_signal_count,deal_signal_count,average_relevance_score,dominant_market_focus,dominant_strategic_angle,dominant_gp_or_developer,sector_risk_or_opportunity,woomi_sector_relevance,recommended_sector_action
2026-07-05,20260705-000252-290c6e5e,2026-07-05 00:02:52,Apartment,33,23,14,25,86.8,Other / Unknown,Developer Strategy,CBRE,Core rental housing underwriting and pipeline signal,Core Strategy Sector,Keep in weekly developer strategy review
2026-07-05,20260705-000252-290c6e5e,2026-07-05 00:02:52,Affordable Housing,15,10,5,14,85.7,Los Angeles / California,Developer Strategy,Kennedy Wilson,Affordability and subsidy program monitoring signal,Strategic Expansion Sector,Add to sector watchlist
2026-07-05,20260705-000252-290c6e5e,2026-07-05 00:02:52,Multifamily,20,3,4,11,64.2,Other / Unknown,Developer Strategy,Freddie Mac,Core rental housing underwriting and pipeline signal,Core Strategy Sector,Keep in weekly developer strategy review
2026-07-05,20260705-000252-290c6e5e,2026-07-05 00:02:52,Student Housing,2,1,1,2,74.0,Other / Unknown,Financing Risk,None detected,Campus-adjacent demand and partnership signal,Strategic Expansion Sector,Monitor university-market demand and partnership signals
2026-07-05,20260705-000252-290c6e5e,2026-07-05 00:02:52,Workforce Housing,1,1,1,1,87.0,Other / Unknown,Developer Strategy,None detected,Affordability and subsidy program monitoring signal,Strategic Expansion Sector,Add to sector watchlist
2026-07-05,20260705-000252-290c6e5e,2026-07-05 00:02:52,Mixed-Use Residential,7,6,2,6,82.9,Atlanta / Georgia,Developer Strategy,JPI,Mixed-use development and placemaking signal,Monitoring Sector,Add to sector watchlist
2026-07-05,20260705-000252-290c6e5e,2026-07-05 00:02:52,Senior Housing,1,1,0,1,72.0,Tennessee,Developer Strategy,None detected,Demographic demand and operating capability signal,Monitoring Sector,Monitor senior housing demand and operating model signals
2026-07-05,20260705-000252-290c6e5e,2026-07-05 00:02:52,General Residential,3,0,2,3,57.3,Los Angeles / California,Institutional Flow,CBRE,General residential market monitoring,Monitoring Sector,Add to sector watchlist
2026-07-05,20260705-000252-290c6e5e,2026-07-05 00:02:52,BTR / Single-Family Rental,0,0,0,0,0,None detected,None detected,None detected,Potential expansion or product diversification signal,Monitoring Sector,"Monitor BTR / SFR operators, capital flows, and target markets"
2026-07-05,20260705-000252-290c6e5e,2026-07-05 00:02:52,Manufactured Housing,0,0,0,0,0,None detected,None detected,None detected,Lower-cost housing and alternative residential platform signal,Monitoring Sector,Add to sector watchlist
2026-07-05,20260705-000252-290c6e5e,2026-07-05 00:02:52,Office-to-Residential Conversion,0,0,0,0,0,None detected,None detected,None detected,"Adaptive reuse, entitlement, and construction feasibility signal",Monitoring Sector,"Track conversion feasibility, policy support, and construction cost assumptions"
