run_date,run_id,file_name,file_type,category,generated_status,row_count_or_section_count,last_updated,short_description,recommended_reader
2026-07-05,20260705-000252-290c6e5e,articles.csv,CSV,Raw Collection,Generated,82,2026-07-05 00:02:53,All saved articles above the relevance threshold.,Strategy Team
2026-07-05,20260705-000252-290c6e5e,high_priority_articles.csv,CSV,Strategy Briefing,Generated,45,2026-07-05 00:02:53,Must Read and Review articles.,Executive
2026-07-05,20260705-000252-290c6e5e,market_signals.csv,CSV,Strategy Briefing,Generated,29,2026-07-05 00:02:53,Articles with numeric market signals.,Strategy Team
2026-07-05,20260705-000252-290c6e5e,strategy_briefing.csv,CSV,Strategy Briefing,Generated,48,2026-07-05 00:02:53,Core briefing dataset for strategic review.,Executive
2026-07-05,20260705-000252-290c6e5e,daily_strategy_briefing.md,Markdown,Strategy Briefing,Generated,8,2026-07-05 00:02:53,Human-readable daily strategy briefing.,Executive
2026-07-05,20260705-000252-290c6e5e,weekly_strategy_memo.md,Markdown,Strategy Briefing,Generated,39,2026-07-05 00:03:13,"Weekly memo with trends, regimes, and strategic implications.",Executive
2026-07-05,20260705-000252-290c6e5e,executive_dashboard_brief.md,Markdown,Executive Dashboard,Generated,11,2026-07-05 00:03:13,Concise dashboard-ready executive brief.,Executive
2026-07-05,20260705-000252-290c6e5e,executive_dashboard_brief_ko.md,Markdown,Executive Dashboard,Generated,7,2026-07-05 00:03:13,Korean executive dashboard briefing.,Executive
2026-07-05,20260705-000252-290c6e5e,weekly_strategy_memo_ko.md,Markdown,Strategy Briefing,Generated,6,2026-07-05 00:03:13,Korean weekly strategy memo.,Executive
2026-07-05,20260705-000252-290c6e5e,executive_priority_brief_ko.md,Markdown,Executive Dashboard,Generated,4,2026-07-05 00:03:13,Korean executive priority brief.,Executive
2026-07-05,20260705-000252-290c6e5e,opportunity_radar_report_ko.md,Markdown,Opportunity / Distress,Generated,5,2026-07-05 00:03:13,Korean opportunity radar report.,Investment Team
2026-07-05,20260705-000252-290c6e5e,distress_watchlist_report_ko.md,Markdown,Opportunity / Distress,Generated,5,2026-07-05 00:03:13,Korean distress watchlist report.,Investment Team
2026-07-05,20260705-000252-290c6e5e,high_confidence_watchlist_report_ko.md,Markdown,Quality Control,Generated,4,2026-07-05 00:03:13,Korean high-confidence watchlist report.,Executive
2026-07-05,20260705-000252-290c6e5e,la_asset_watch_report_ko.md,Markdown,Deal / Asset Intelligence,Generated,5,2026-07-05 00:03:13,Korean LA asset watch report.,US Local Team
2026-07-05,20260705-000252-290c6e5e,la_entitlement_watch_report_ko.md,Markdown,Entitlement / Lifecycle Intelligence,Generated,5,2026-07-05 00:03:13,Korean LA entitlement watch report.,US Local Team
2026-07-05,20260705-000252-290c6e5e,la_development_lifecycle_watch_report_ko.md,Markdown,Entitlement / Lifecycle Intelligence,Generated,4,2026-07-05 00:03:13,Korean LA development lifecycle watch report.,US Local Team
2026-07-05,20260705-000252-290c6e5e,gp_watchlist_report_ko.md,Markdown,GP / Institutional Intelligence,Generated,5,2026-07-05 00:03:13,Korean GP watchlist report.,Strategy Team
2026-07-05,20260705-000252-290c6e5e,korean_reporting_index.md,Markdown,Strategy Briefing,Generated,4,2026-07-05 00:03:13,Index and reading order for Korean reports.,Executive
2026-07-05,20260705-000252-290c6e5e,dashboard_summary.csv,CSV,Executive Dashboard,Generated,1,2026-07-05 00:03:13,One-row run summary for future dashboard metrics.,Technical / Maintenance
2026-07-05,20260705-000252-290c6e5e,dashboard_cards.csv,CSV,Executive Dashboard,Generated,38,2026-07-05 00:03:13,Dashboard-ready card data.,Technical / Maintenance
2026-07-05,20260705-000252-290c6e5e,dashboard_watchlists.csv,CSV,Executive Dashboard,Generated,98,2026-07-05 00:03:13,Dashboard-ready watchlist data.,Technical / Maintenance
2026-07-05,20260705-000252-290c6e5e,high_confidence_watchlist.csv,CSV,Quality Control,Generated,44,2026-07-05 00:03:13,Highest-confidence strategic signals.,Executive
2026-07-05,20260705-000252-290c6e5e,signal_quality.csv,CSV,Quality Control,Generated,172,2026-07-05 00:03:13,Signal confidence and false-positive risk scoring.,Strategy Team
2026-07-05,20260705-000252-290c6e5e,source_health.csv,CSV,Source Management,Generated,163,2026-07-05 00:02:53,Feed status and source usefulness.,Technical / Maintenance
2026-07-05,20260705-000252-290c6e5e,source_coverage_report.csv,CSV,Source Management,Generated,25,2026-07-05 00:03:01,Site / Parcel feed coverage diagnostics.,Technical / Maintenance
2026-07-05,20260705-000252-290c6e5e,costar_intake_report.csv,CSV,Source Management,Generated,1,2026-07-05 00:03:01,Diagnostics for manually exported CoStar intake files.,Technical / Maintenance
2026-07-05,20260705-000252-290c6e5e,source_activation.csv,CSV,Source Management,Generated,163,2026-07-05 00:02:53,Validated source activation and source quality scoring.,Technical / Maintenance
2026-07-05,20260705-000252-290c6e5e,source_health_report.md,Markdown,Source Management,Generated,9,2026-07-05 00:02:53,Readable source health report.,Technical / Maintenance
2026-07-05,20260705-000252-290c6e5e,source_coverage_report.md,Markdown,Source Management,Generated,4,2026-07-05 00:03:01,Readable Site / Parcel source coverage report.,Technical / Maintenance
2026-07-05,20260705-000252-290c6e5e,costar_intake_report.md,Markdown,Source Management,Generated,4,2026-07-05 00:03:01,Readable CoStar manual intake diagnostics.,Technical / Maintenance
2026-07-05,20260705-000252-290c6e5e,source_activation_report.md,Markdown,Source Management,Generated,11,2026-07-05 00:02:53,Readable source activation report.,Technical / Maintenance
2026-07-05,20260705-000252-290c6e5e,opportunity_radar.csv,CSV,Opportunity / Distress,Generated,60,2026-07-05 00:03:13,"Acquisition, recapitalization, JV, and market-entry opportunities.",Investment Team
2026-07-05,20260705-000252-290c6e5e,distress_watchlist.csv,CSV,Opportunity / Distress,Generated,12,2026-07-05 00:03:13,"Refinancing stress, stalled project, and distress signals.",Investment Team
2026-07-05,20260705-000252-290c6e5e,deal_pipeline.csv,CSV,Deal / Asset Intelligence,Generated,63,2026-07-05 00:03:13,Extracted deal and project pipeline signals.,Investment Team
2026-07-05,20260705-000252-290c6e5e,asset_parcel_intelligence.csv,CSV,Deal / Asset Intelligence,Generated,88,2026-07-05 00:03:13,"Asset, parcel, address, sponsor, and site-level clues.",Development Team
2026-07-05,20260705-000252-290c6e5e,la_asset_watch.csv,CSV,Deal / Asset Intelligence,Generated,56,2026-07-05 00:03:11,LA and Southern California asset watchlist.,US Local Team
2026-07-05,20260705-000252-290c6e5e,project_identity.csv,CSV,Deal / Asset Intelligence,Generated,732,2026-07-05 00:03:13,Canonical project identity resolution.,Technical / Maintenance
2026-07-05,20260705-000252-290c6e5e,persistent_asset_memory.csv,CSV,Historical Memory,Generated,172,2026-07-05 00:03:13,Persistent project memory across runs.,Development Team
2026-07-05,20260705-000252-290c6e5e,la_persistent_asset_watch.csv,CSV,Historical Memory,Generated,109,2026-07-05 00:03:13,Persistent LA and Southern California asset watch.,US Local Team
2026-07-05,20260705-000252-290c6e5e,entitlement_intelligence.csv,CSV,Entitlement / Lifecycle Intelligence,Generated,15,2026-07-05 00:03:09,"Zoning, permitting, entitlement, and approval signals.",Development Team
2026-07-05,20260705-000252-290c6e5e,la_entitlement_watch.csv,CSV,Entitlement / Lifecycle Intelligence,Generated,12,2026-07-05 00:03:09,LA and California entitlement watchlist.,US Local Team
2026-07-05,20260705-000252-290c6e5e,development_lifecycle.csv,CSV,Entitlement / Lifecycle Intelligence,Generated,88,2026-07-05 00:03:13,Development lifecycle stage classification.,Development Team
2026-07-05,20260705-000252-290c6e5e,lifecycle_transition.csv,CSV,Entitlement / Lifecycle Intelligence,Generated,88,2026-07-05 00:03:13,Lifecycle progression and stall tracking.,Development Team
2026-07-05,20260705-000252-290c6e5e,timing_intelligence.csv,CSV,Entitlement / Lifecycle Intelligence,Generated,43,2026-07-05 00:03:09,"Timing signals for refinancing, delivery, permitting, and entry windows.",Strategy Team
2026-07-05,20260705-000252-290c6e5e,market_entry_window.csv,CSV,Strategy Briefing,Generated,8,2026-07-05 00:03:09,Market entry window scoring by region.,Investment Team
2026-07-05,20260705-000252-290c6e5e,gp_watchlist.csv,CSV,GP / Institutional Intelligence,Generated,21,2026-07-05 00:03:02,Emerging GP ranking and watchlist.,Strategy Team
2026-07-05,20260705-000252-290c6e5e,gp_intelligence.csv,CSV,GP / Institutional Intelligence,Generated,21,2026-07-05 00:03:02,Developer and GP intelligence signals.,Strategy Team
2026-07-05,20260705-000252-290c6e5e,institutional_relationships.csv,CSV,GP / Institutional Intelligence,Generated,21,2026-07-05 00:03:02,Institutional relationship and capital-flow scoring.,Strategy Team
2026-07-05,20260705-000252-290c6e5e,relationship_graph.csv,CSV,GP / Institutional Intelligence,Generated,134,2026-07-05 00:03:13,"Developer, lender, capital partner, and market relationship edges.",Strategy Team
2026-07-05,20260705-000252-290c6e5e,regional_intelligence.csv,CSV,Strategy Briefing,Generated,13,2026-07-05 00:03:02,Market and regional intelligence summary.,US Local Team
2026-07-05,20260705-000252-290c6e5e,residential_sector_intelligence.csv,CSV,Strategy Briefing,Generated,11,2026-07-05 00:03:02,Residential sector coverage beyond multifamily.,Strategy Team
