run_date,run_id,la_persistent_watch_id,canonical_project_id,canonical_project_name,la_submarket,address_or_location_clue,gp_or_developer,residential_sector,latest_lifecycle_stage,progression_status,stall_risk_label,entitlement_signal_count,timing_signal_count,financing_signal_count,opportunity_score,risk_score,woomi_site_strategy_relevance,potential_woomi_strategy_angle,recommended_local_follow_up,confidence_level
2026-07-14,20260714-235420-7185f37b,LAP-20260714-001,PRJ-20260714-0061,Construction Financing - California - Dwight Provides Largest Construction Loan in Company History for Gilroy Multifamily,Los Angeles,California,Dwight Mortgage Trust,Apartment,Refinancing / Recapitalization,Persistent Same Stage,Medium Stall Risk,0,10,10,100,59,High relevance to LA site strategy,Track repeat project updates,"Create or refresh a project watch file with sponsor, site, entitlement, financing, and timing notes",High
2026-07-14,20260714-235420-7185f37b,LAP-20260714-002,PRJ-20260714-0063,Refinancing - California - Northmarq Secures $34M Refinance Loan for Owner of Upland California Apartment Community,Los Angeles,California,Freddie Mac,Apartment,Refinancing / Recapitalization,Newly Detected,Medium Stall Risk,0,0,11,100,52,High relevance to LA site strategy,Track repeat project updates,"Create or refresh a project watch file with sponsor, site, entitlement, financing, and timing notes",High
2026-07-14,20260714-235420-7185f37b,LAP-20260714-005,PRJ-20260714-0060,Disposition / Exit - California - Garden-Style Apartments Go for $78M in North County San Diego,California,California,CBRE,Apartment,Unknown Stage,Newly Detected,Low Stall Risk,0,0,0,100,32,High relevance to LA site strategy,Track repeat project updates,"Create or refresh a project watch file with sponsor, site, entitlement, financing, and timing notes",High
2026-07-14,20260714-235420-7185f37b,LAP-20260714-025,PRJ-20260714-0025,"General Project Signal - California - Final Approval For 3896 Stevens Creek Boulevard, San Jose",California,3896 Stevens Creek Boulevard,Holland Partner Group,Apartment,Unknown Stage,Newly Detected,Low Stall Risk,0,0,0,100,32,Relevant to California site monitoring,Track repeat project updates,Monitor for repeated project updates,Medium
2026-07-14,20260714-235420-7185f37b,LAP-20260714-006,PRJ-20260714-0168,"Acquisition - Miami / Florida - Avalon Bay Planning Apartments, Retail in South Miami",Los Angeles,South Florida,AvalonBay,Mixed-Use Residential,Unknown Stage,Unknown,Low Stall Risk,5,0,0,100,31,High relevance to LA site strategy,Track repeat project updates,"Create or refresh a project watch file with sponsor, site, entitlement, financing, and timing notes",High
2026-07-14,20260714-235420-7185f37b,LAP-20260714-007,PRJ-20260714-0049,Disposition / Exit - Atlanta / Georgia - UDR Offloads Nashville Apartments After 31-Year Hold,Los Angeles,Atlanta,UDR,Apartment,Unknown Stage,Unknown,Low Stall Risk,0,0,3,99,31,High relevance to LA site strategy,Track repeat project updates,"Create or refresh a project watch file with sponsor, site, entitlement, financing, and timing notes",High
2026-07-14,20260714-235420-7185f37b,LAP-20260714-004,PRJ-20260714-0048,Development Start - Atlanta / Georgia - Financing Secured for Centennial Yards Mixed-Use Project,Los Angeles,Atlanta,CIM Group,Mixed-Use Residential,Construction Ready,Persistent Same Stage,Low Stall Risk,0,0,0,98,36,High relevance to LA site strategy,Track repeat project updates,"Create or refresh a project watch file with sponsor, site, entitlement, financing, and timing notes",High
2026-07-14,20260714-235420-7185f37b,LAP-20260714-003,PRJ-20260714-0169,"Construction Financing - Miami / Florida - Fort Lauderdale Developer Inks Financing for Condos, Apartments, Retail",Los Angeles,South Florida,IPA,Apartment,Unknown Stage,Unknown,Low Stall Risk,0,5,0,96,46,High relevance to LA site strategy,Track repeat project updates,"Create or refresh a project watch file with sponsor, site, entitlement, financing, and timing notes",High
2026-07-14,20260714-235420-7185f37b,LAP-20260714-029,PRJ-20260714-0030,"Entitlement / Permitting - California - Meeting Tomorrow For 470 West San Carlos Street, San Jose",California,470 West San Carlos Street,Unknown,Apartment,Unknown Stage,Newly Detected,Low Stall Risk,2,0,0,95,40,Relevant to California site monitoring,Track repeat project updates,Monitor for repeated project updates,Medium
2026-07-14,20260714-235420-7185f37b,LAP-20260714-008,PRJ-20260714-0059,"Acquisition - California - Bascom Group Acquires Value-Add Apartment Community in Buena Park, California for $53.1 mi...",California,California,Bascom Group,Apartment,Unknown Stage,Newly Detected,Low Stall Risk,0,0,0,95,30,High relevance to LA site strategy,Track repeat project updates,"Create or refresh a project watch file with sponsor, site, entitlement, financing, and timing notes",High
