run_date,run_id,firm_name,strategic_tier,strategic_weight,residential_sector,detected_markets,detected_source_categories,detected_platform_types,detected_activity_types,article_count,highest_relevance_score,average_relevance_score,capital_flow_signal,relationship_signal,partnership_relevance_to_woomi,california_la_relevance,institutional_relationship_score,recommended_follow_up
2026-07-28,20260728-000412-226963fa,JLL,Tier 3 / Growth and Market Signal Watch,50,Mixed-Use Residential,Atlanta / Georgia; Dallas / Texas; Miami / Florida; Other / Unknown,Core Multifamily News; Site / Parcel Source Expansion,Other,acquisition; disposition / exit; refinancing; JV / partnership; operational technology / AI adoption,4,100,99.8,Capital Inflow,Potential JV / Partnership Signal,potential JV partnership signal,High,100,Map potential GP / JV relationship and monitor partnership activity
2026-07-28,20260728-000412-226963fa,Marcus & Millichap,Tier 3 / Growth and Market Signal Watch,50,Apartment,California; Los Angeles / California; Other / Unknown,Core Multifamily News; Regional / California / LA Sources,Other,acquisition; disposition / exit; capital raise; market expansion; operational technology / AI adoption,6,100,89.7,Capital Inflow,GP Capability Benchmark Signal,competitive pressure indicator,High,100,Review California / LA capital and developer activity
2026-07-28,20260728-000412-226963fa,Berkadia,Tier 3 / Growth and Market Signal Watch,50,Apartment,Houston / Texas; Washington DC,Site / Parcel Source Expansion,Other,acquisition; disposition / exit; refinancing,2,100,100.0,Capital Inflow,Pricing Discovery Signal,pricing discovery reference,Low,98,Track capital deployment and pricing signals
2026-07-28,20260728-000412-226963fa,CIM Group,Tier 2 / Strategic Watch,75,Mixed-Use Residential,Atlanta / Georgia,Site / Parcel Source Expansion,Other,development start; operational technology / AI adoption,1,100,100.0,Development Capital Deployment,GP Capability Benchmark Signal,competitive pressure indicator,Low,98,Track capital deployment and pricing signals
2026-07-28,20260728-000412-226963fa,Hines,Tier 2 / Strategic Watch,75,Mixed-Use Residential,Dallas / Texas,Site / Parcel Source Expansion,Other,disposition / exit; JV / partnership; operational technology / AI adoption,1,100,100.0,Capital Outflow / Exit,Potential JV / Partnership Signal,potential JV partnership signal,Low,98,Map potential GP / JV relationship and monitor partnership activity
2026-07-28,20260728-000412-226963fa,Bascom Group,Tier 3 / Growth and Market Signal Watch,50,Apartment,California,Site / Parcel Source Expansion,Other,acquisition; disposition / exit; refinancing; operational technology / AI adoption,1,91,91.0,Capital Inflow,GP Capability Benchmark Signal,competitive pressure indicator,High,96,Review California / LA capital and developer activity
2026-07-28,20260728-000412-226963fa,Edgewater Rental Community S3 Capital,Tier 3 / Growth and Market Signal Watch,50,Mixed-Use Residential,Miami / Florida,Site / Parcel Source Expansion,Other,refinancing; operational technology / AI adoption,1,100,100.0,Refinancing / Recapitalization,GP Capability Benchmark Signal,competitive pressure indicator,High,91,Review California / LA capital and developer activity
2026-07-28,20260728-000412-226963fa,Freddie Mac,Tier 3 / Growth and Market Signal Watch,50,Apartment,Washington DC,Site / Parcel Source Expansion,Other,acquisition; disposition / exit; refinancing,1,100,100.0,Capital Inflow,Pricing Discovery Signal,pricing discovery reference,Low,91,Track capital deployment and pricing signals
2026-07-28,20260728-000412-226963fa,Harrison Street Asset Management,Tier 3 / Growth and Market Signal Watch,50,Student Housing,Phoenix / Arizona,Site / Parcel Source Expansion,Other,refinancing; JV / partnership; operational technology / AI adoption,1,100,100.0,Refinancing / Recapitalization,Potential JV / Partnership Signal,potential JV partnership signal,Low,91,Map potential GP / JV relationship and monitor partnership activity
2026-07-28,20260728-000412-226963fa,Margaritaville Hotel Savannah Tidal Real Estate Partners,Tier 3 / Growth and Market Signal Watch,50,Apartment,Georgia,Core Multifamily News,Other,refinancing; office-to-residential conversion; JV / partnership; capital raise,1,100,100.0,Capital Inflow,Potential JV / Partnership Signal,potential JV partnership signal,Low,91,Map potential GP / JV relationship and monitor partnership activity
2026-07-28,20260728-000412-226963fa,Fannie Mae,Tier 3 / Growth and Market Signal Watch,50,Affordable Housing,New York,Site / Parcel Source Expansion,Other,acquisition; refinancing; operational technology / AI adoption,1,97,97.0,Capital Inflow,GP Capability Benchmark Signal,competitive pressure indicator,Low,90,Track capital deployment and pricing signals
2026-07-28,20260728-000412-226963fa,Greystone,Tier 3 / Growth and Market Signal Watch,50,Affordable Housing,New York,Site / Parcel Source Expansion,Other,acquisition; refinancing; operational technology / AI adoption,1,97,97.0,Capital Inflow,GP Capability Benchmark Signal,competitive pressure indicator,Low,90,Track capital deployment and pricing signals
2026-07-28,20260728-000412-226963fa,IPA,Tier 3 / Growth and Market Signal Watch,50,Apartment,Miami / Florida; New York City / New York,Core Multifamily News; Site / Parcel Source Expansion,Other,operational technology / AI adoption,3,97,82.7,Operational / Platform Investment,GP Capability Benchmark Signal,competitive pressure indicator,Low,90,Monitor only
2026-07-28,20260728-000412-226963fa,Arcus Real Estate Capital,Tier 3 / Growth and Market Signal Watch,50,BTR / Single-Family Rental,Phoenix / Arizona,Site / Parcel Source Expansion,Other,refinancing; BTR expansion; operational technology / AI adoption,1,94,94.0,Refinancing / Recapitalization,GP Capability Benchmark Signal,capital market sentiment indicator,Low,89,Track refinancing or recapitalization pipeline
2026-07-28,20260728-000412-226963fa,Valley National Bank,Tier 3 / Growth and Market Signal Watch,50,Apartment,Miami / Florida,Core Multifamily News; Site / Parcel Source Expansion,Other,operational technology / AI adoption,2,97,88.5,Operational / Platform Investment,GP Capability Benchmark Signal,competitive pressure indicator,Low,87,Monitor only
2026-07-28,20260728-000412-226963fa,PCCP,Tier 3 / Growth and Market Signal Watch,50,Apartment,Phoenix / Arizona,Site / Parcel Source Expansion,Other,refinancing; JV / partnership; operational technology / AI adoption,1,88,88.0,Refinancing / Recapitalization,Potential JV / Partnership Signal,potential JV partnership signal,Low,86,Map potential GP / JV relationship and monitor partnership activity
2026-07-28,20260728-000412-226963fa,MMG Real Estate,Tier 3 / Growth and Market Signal Watch,50,Apartment,Texas,Site / Parcel Source Expansion,Other,acquisition; disposition / exit; refinancing,1,82,82.0,Capital Inflow,Capital Partner Tracking Signal,capital market sentiment indicator,Low,83,Track capital deployment and pricing signals
2026-07-28,20260728-000412-226963fa,"Milhaus Merges with SRG Residential, Will",Tier 3 / Growth and Market Signal Watch,50,Apartment,California,Site / Parcel Source Expansion,Other,acquisition; operational technology / AI adoption,1,67,67.0,Capital Inflow,GP Capability Benchmark Signal,competitive pressure indicator,High,80,Review California / LA capital and developer activity
2026-07-28,20260728-000412-226963fa,Atlanta Student Housing Project Radnor Property Group,Tier 3 / Growth and Market Signal Watch,50,Student Housing,Atlanta / Georgia,Site / Parcel Source Expansion,Other,disposition / exit; operational technology / AI adoption,1,88,88.0,Capital Outflow / Exit,GP Capability Benchmark Signal,competitive pressure indicator,Low,78,Monitor only
2026-07-28,20260728-000412-226963fa,Crescent Communities,Tier 3 / Growth and Market Signal Watch,50,Apartment,Phoenix / Arizona,Site / Parcel Source Expansion,Other,operational technology / AI adoption,1,85,85.0,Operational / Platform Investment,GP Capability Benchmark Signal,competitive pressure indicator,Low,77,Monitor only
2026-07-28,20260728-000412-226963fa,Lawmark Capital,Tier 3 / Growth and Market Signal Watch,50,Affordable Housing,Other / Unknown,Site / Parcel Source Expansion,Other,refinancing; office-to-residential conversion,1,84,84.0,Refinancing / Recapitalization,GP Capability Benchmark Signal,construction strategy signal,Low,77,Track refinancing or recapitalization pipeline
2026-07-28,20260728-000412-226963fa,Elme Communities,Tier 3 / Growth and Market Signal Watch,50,Apartment,Riverside / California,Core Multifamily News,Other,disposition / exit; market expansion; operational technology / AI adoption,1,76,76.0,Capital Outflow / Exit,GP Capability Benchmark Signal,competitive pressure indicator,Low,73,Monitor only
2026-07-28,20260728-000412-226963fa,NJHMFA,Tier 3 / Growth and Market Signal Watch,50,Affordable Housing,Other / Unknown,Core Multifamily News,Other,disposition / exit; refinancing,1,59,59.0,Capital Outflow / Exit,Capital Partner Tracking Signal,capital market sentiment indicator,Low,61,Review institutional pricing and capital partner signals
2026-07-28,20260728-000412-226963fa,Deutsche Bank,Tier 3 / Growth and Market Signal Watch,50,General Residential,Miami / Florida,Core Multifamily News,Other,refinancing,1,52,52.0,Refinancing / Recapitalization,Capital Partner Tracking Signal,capital market sentiment indicator,Low,58,Track refinancing or recapitalization pipeline
2026-07-28,20260728-000412-226963fa,Valley National Bank Provide Pre,Tier 3 / Growth and Market Signal Watch,50,Multifamily,Miami / Florida,Core Multifamily News,Other,market expansion,1,80,80.0,No Clear Capital Flow Signal,No Clear Relationship Signal,benchmark underwriting assumptions,Low,57,Monitor only
2026-07-28,20260728-000412-226963fa,Newer Florida Independent Living Asset,Tier 3 / Growth and Market Signal Watch,50,Senior Housing,Tampa / Florida,Core Multifamily News,Other,disposition / exit,1,56,56.0,Capital Outflow / Exit,No Clear Relationship Signal,benchmark underwriting assumptions,Low,49,Monitor only
