run_date,run_id,run_timestamp,market,residential_sector,market_article_count,high_priority_count,market_signal_count,average_relevance_score,dominant_strategic_angle,dominant_market_signal,regional_risk_or_opportunity,woomi_market_relevance,recommended_market_action
2026-07-28,20260728-235943-eac269a1,2026-07-28 23:59:43,California,Apartment,23,17,15,84.5,Institutional Flow,Deal Size Signal,Institutional capital pricing signal,Core Watch Market,Track LA / California entitlement and zoning updates
2026-07-28,20260728-235943-eac269a1,2026-07-28 23:59:43,Los Angeles,Affordable Housing,18,13,12,84.4,Developer Strategy,Rent Growth Signal,Developer capability / execution signal,Core Watch Market,Track LA / California entitlement and zoning updates
2026-07-28,20260728-235943-eac269a1,2026-07-28 23:59:43,National / Other,Apartment,31,13,6,71.8,Institutional Flow,Deal Size Signal,Institutional capital pricing signal,General Monitoring,Track institutional capital activity
2026-07-28,20260728-235943-eac269a1,2026-07-28 23:59:43,Florida,Mixed-Use Residential,10,9,3,86.6,Developer Strategy,Supply / Starts Signal,Supply pressure / lease-up risk,Strategic Watch Market,Monitor supply pipeline and concessions
2026-07-28,20260728-235943-eac269a1,2026-07-28 23:59:43,Southeast,Apartment,10,8,4,85.5,Institutional Flow,Supply / Starts Signal,Supply pressure / lease-up risk,Strategic Watch Market,Monitor supply pipeline and concessions
2026-07-28,20260728-235943-eac269a1,2026-07-28 23:59:43,New York,Apartment,6,6,3,85.7,Institutional Flow,Deal Size Signal,Institutional capital pricing signal,General Monitoring,Track institutional capital activity
2026-07-28,20260728-235943-eac269a1,2026-07-28 23:59:43,Arizona,BTR / Single-Family Rental,4,4,3,91.8,Developer Strategy,Rent Growth Signal,Developer capability / execution signal,Strategic Watch Market,Watch GP / developer partnership opportunities
2026-07-28,20260728-235943-eac269a1,2026-07-28 23:59:43,Phoenix,BTR / Single-Family Rental,4,4,3,91.8,Developer Strategy,Rent Growth Signal,Developer capability / execution signal,Strategic Watch Market,Watch GP / developer partnership opportunities
2026-07-28,20260728-235943-eac269a1,2026-07-28 23:59:43,Texas,Student Housing,3,3,3,92.7,Financing Risk,Vacancy Signal,Financing-sensitive development environment,Strategic Watch Market,Review development underwriting assumptions
2026-07-28,20260728-235943-eac269a1,2026-07-28 23:59:43,Austin,Mixed-Use Residential,1,1,1,93.0,Financing Risk,Rent Growth Signal,Financing-sensitive development environment,Strategic Watch Market,Review development underwriting assumptions
2026-07-28,20260728-235943-eac269a1,2026-07-28 23:59:43,Seattle,Apartment,1,0,0,57.0,None detected,None detected,General market monitoring,General Monitoring,Monitor only
2026-07-28,20260728-235943-eac269a1,2026-07-28 23:59:43,Dallas,General Residential,0,0,0,0,None detected,None detected,General market monitoring,Low Priority,Monitor only
2026-07-28,20260728-235943-eac269a1,2026-07-28 23:59:43,Sun Belt,General Residential,0,0,0,0,None detected,None detected,General market monitoring,Low Priority,Monitor only
