run_date,run_id,run_timestamp,residential_sector,article_count,high_priority_count,market_signal_count,deal_signal_count,average_relevance_score,dominant_market_focus,dominant_strategic_angle,dominant_gp_or_developer,sector_risk_or_opportunity,woomi_sector_relevance,recommended_sector_action
2026-08-19,20260819-232308-78777e3c,2026-08-19 23:23:08,Apartment,44,27,21,36,85.1,Other / Unknown,Developer Strategy,Marcus & Millichap,Core rental housing underwriting and pipeline signal,Core Strategy Sector,Keep in weekly developer strategy review
2026-08-19,20260819-232308-78777e3c,2026-08-19 23:23:08,Affordable Housing,5,5,5,5,100.0,Los Angeles / California,Developer Strategy,None detected,Affordability and subsidy program monitoring signal,Strategic Expansion Sector,Add to sector watchlist
2026-08-19,20260819-232308-78777e3c,2026-08-19 23:23:08,Multifamily,18,4,3,11,66.7,Other / Unknown,Institutional Flow,Kennedy Wilson,Core rental housing underwriting and pipeline signal,Core Strategy Sector,Keep in weekly developer strategy review
2026-08-19,20260819-232308-78777e3c,2026-08-19 23:23:08,Office-to-Residential Conversion,1,1,1,1,75.0,Other / Unknown,Developer Strategy,None detected,"Adaptive reuse, entitlement, and construction feasibility signal",Strategic Expansion Sector,"Track conversion feasibility, policy support, and construction cost assumptions"
2026-08-19,20260819-232308-78777e3c,2026-08-19 23:23:08,BTR / Single-Family Rental,1,1,0,1,85.0,Phoenix / Arizona,Supply Pressure,None detected,Potential expansion or product diversification signal,Strategic Expansion Sector,"Monitor BTR / SFR operators, capital flows, and target markets"
2026-08-19,20260819-232308-78777e3c,2026-08-19 23:23:08,Student Housing,2,0,0,2,72.0,Atlanta / Georgia,Financing Risk,None detected,Campus-adjacent demand and partnership signal,Strategic Expansion Sector,Monitor university-market demand and partnership signals
2026-08-19,20260819-232308-78777e3c,2026-08-19 23:23:08,Mixed-Use Residential,5,3,3,4,76.2,Miami / Florida,Developer Strategy,CBRE,Mixed-use development and placemaking signal,Monitoring Sector,Add to sector watchlist
2026-08-19,20260819-232308-78777e3c,2026-08-19 23:23:08,General Residential,5,2,5,5,62.2,Los Angeles / California,Financing Risk,CBRE,General residential financing signal,Monitoring Sector,Add to sector watchlist
2026-08-19,20260819-232308-78777e3c,2026-08-19 23:23:08,Senior Housing,1,1,1,1,100.0,Los Angeles / California,Regulation Risk,None detected,Demographic demand and operating capability signal,Monitoring Sector,Monitor senior housing demand and operating model signals
2026-08-19,20260819-232308-78777e3c,2026-08-19 23:23:08,Manufactured Housing,0,0,0,0,0,None detected,None detected,None detected,Lower-cost housing and alternative residential platform signal,Monitoring Sector,Add to sector watchlist
2026-08-19,20260819-232308-78777e3c,2026-08-19 23:23:08,Workforce Housing,0,0,0,0,0,None detected,None detected,None detected,Affordability and subsidy program monitoring signal,Monitoring Sector,Add to sector watchlist
