run_date,run_id,canonical_project_id,canonical_project_name,project_identity_confidence,distress_id,deal_fingerprint_id,duplicate_cluster_id,distress_type,market,residential_sector,gp_or_developer,lender_or_debt_provider,related_project_or_deal,distress_score,distress_priority_label,evidence_signals,potential_woomi_angle,recommended_next_action,source_article_title,url,confidence_level
2026-06-28,20260628-000336-0274ba14,PRJ-20260628-0049,"Recapitalization - California - PEF Advisors, Freestone Capital Form JV to Recapitalize Affordable Properties",100,DST-20260628-013,DFP-920342F693,DCL-20260628-013,recapitalization need,California,Affordable Housing,PEF Advisors,Unknown,"Recapitalization - California - PEF Advisors, Freestone Capital Form JV to Recapitalize Affordable Properties",72,High Distress Watch,Recapitalization; recapitalization,"Evaluate LA / California entitlement, zoning, or local GP partnership relevance","Track debt maturity, lender exposure, sponsor stress, and recapitalization options","PEF Advisors, Freestone Capital Form JV to Recapitalize Affordable Properties",https://www.connectcre.com/stories/pef-advisors-freestone-capital-form-jv-to-recapitalize-affordable-properties/,Medium
2026-06-28,20260628-000336-0274ba14,PRJ-20260628-0050,General Project Signal - California - Newsom Signs Bill Putting $11B Housing Bond on November Ballot,80,DST-20260628-021,DFP-5607A5A947,DCL-20260628-021,bridge loan stress,California,Apartment,Unknown,Unknown,General Project Signal - California - New-Construction San Diego Apartments Score $53M Bridge Loan,70,High Distress Watch,General Project Signal; bridge loan,"Evaluate LA / California entitlement, zoning, or local GP partnership relevance","Track debt maturity, lender exposure, sponsor stress, and recapitalization options",New-Construction San Diego Apartments Score $53M Bridge Loan,https://www.connectcre.com/stories/new-construction-san-diego-apartments-score-53m-bridge-loan/,Medium
2026-06-28,20260628-000336-0274ba14,PRJ-20260628-0065,Refinancing - Houston / Texas - MMCC Arranges $54M HUD-Insured Loan for Refinancing of Metro Houston Apartment Community,100,DST-20260628-002,DFP-A06C9932C8,DCL-20260628-002,refinancing stress,Houston / Texas,Apartment,Marcus & Millichap,Unknown,Refinancing - Houston / Texas - MMCC Arranges $54M HUD-Insured Loan for Refinancing of Metro Houston Apartment Community,66,High Distress Watch,Refinancing; refinancing,"Track potential rescue capital, debt recapitalization, or capital partner opening","Track debt maturity, lender exposure, sponsor stress, and recapitalization options",MMCC Arranges $54M HUD-Insured Loan for Refinancing of Metro Houston Apartment Community,https://rebusinessonline.com/mmcc-arranges-54m-hud-insured-loan-for-refinancing-of-metro-houston-apartment-community/,Medium
2026-06-28,20260628-000336-0274ba14,PRJ-20260628-0147,Refinancing - San Francisco / California - Mesa West Capital Joint Venture Provides $83M for Seattle Multifamily Apartment Community...,100,DST-20260628-003,DFP-DAD535FA3D,DCL-20260628-003,refinancing stress,San Francisco / California,Apartment,CBRE,CBRE,Refinancing - San Francisco / California - Mesa West Capital Joint Venture Provides $83M for Seattle Multifamily Apartment Community...,66,High Distress Watch,Refinancing; refinancing,"Track potential rescue capital, debt recapitalization, or capital partner opening","Track debt maturity, lender exposure, sponsor stress, and recapitalization options",Mesa West Capital Joint Venture Provides $83M for Seattle Multifamily Apartment Community Olin Fields,https://yieldpro.com/2026/06/olin-fields/,Medium
2026-06-28,20260628-000336-0274ba14,PRJ-20260628-0036,"Acquisition - Atlanta / Georgia - Developer Buys Land Near Charlotte Transit Station, Apartments on Way",80,DST-20260628-018,DFP-8693C2E984,DCL-20260628-018,refinancing stress,Atlanta / Georgia,Apartment,Unknown,Unknown,Refinancing - Atlanta / Georgia - Dwight Capital Finances $39M Loan for Oregon Multifamily Development,60,High Distress Watch,Refinancing; refinancing,"Track potential rescue capital, debt recapitalization, or capital partner opening","Track debt maturity, lender exposure, sponsor stress, and recapitalization options",Dwight Capital Finances $39M Loan for Oregon Multifamily Development,https://www.connectcre.com/stories/dwight-capital-finances-39m-loan-for-oregon-multifamily-development/,Medium
2026-06-28,20260628-000336-0274ba14,PRJ-20260628-0059,"Refinancing - Florida - Berkadia Arranges $100.4M Refinancing for Office Campus in Palm Beach Gardens, Florida",100,DST-20260628-014,DFP-5B570D0CA0,DCL-20260628-014,refinancing stress,Florida,General Residential,Berkadia,Berkadia,"Refinancing - Florida - Berkadia Arranges $100.4M Refinancing for Office Campus in Palm Beach Gardens, Florida",60,High Distress Watch,Refinancing; refinancing,"Track potential rescue capital, debt recapitalization, or capital partner opening","Track debt maturity, lender exposure, sponsor stress, and recapitalization options","Berkadia Arranges $100.4M Refinancing for Office Campus in Palm Beach Gardens, Florida",https://rebusinessonline.com/berkadia-arranges-100-4m-refinancing-for-office-campus-in-palm-beach-gardens-florida/,Medium
2026-06-28,20260628-000336-0274ba14,PRJ-20260628-0111,Refinancing - New York - 22-Property NJ Workforce Portfolio Refinanced for $38M,80,DST-20260628-017,DFP-6163AE42CF,DCL-20260628-017,refinancing stress,New York,Workforce Housing,Unknown,Unknown,Refinancing - New York - 22-Property NJ Workforce Portfolio Refinanced for $38M,60,High Distress Watch,Refinancing; refinancing,"Track potential rescue capital, debt recapitalization, or capital partner opening","Track debt maturity, lender exposure, sponsor stress, and recapitalization options",22-Property NJ Workforce Portfolio Refinanced for $38M,https://www.connectcre.com/stories/22-property-nj-workforce-portfolio-refinanced-for-38m/,Medium
2026-06-28,20260628-000336-0274ba14,PRJ-20260628-0101,Construction Financing - National - KeyBank Provides $56M in Construction Financing for Ohio Affordable Seniors Housing Projec...,80,DST-20260628-009,DFP-41870554AC,DCL-20260628-009,construction loan gap,National,Affordable Housing,Unknown,keybank,Construction Financing - National - KeyBank Provides $56M in Construction Financing for Ohio Affordable Seniors Housing Projec...,58,Monitor,Construction Financing,"Track potential rescue capital, debt recapitalization, or capital partner opening",Monitor for repeated distress signals,KeyBank Provides $56M in Construction Financing for Ohio Affordable Seniors Housing Project,https://rebusinessonline.com/keybank-provides-56m-in-construction-financing-for-ohio-affordable-seniors-housing-project/,Low
2026-06-28,20260628-000336-0274ba14,PRJ-20260628-0101,Construction Financing - National - KeyBank Provides $56M in Construction Financing for Ohio Affordable Seniors Housing Projec...,80,DST-20260628-010,DFP-8A4435307C,DCL-20260628-010,construction loan gap,National,Apartment,Unknown,wells fargo,Construction Financing - National - North American Development Group Begins Work on 476-Unit Delray Beach Rental Community,58,Monitor,Construction Financing,"Track potential rescue capital, debt recapitalization, or capital partner opening",Monitor for repeated distress signals,North American Development Group Begins Work on 476-Unit Delray Beach Rental Community,https://yieldpro.com/2026/06/nuvo-delray-beach-apartments/,Low
2026-06-28,20260628-000336-0274ba14,PRJ-20260628-0097,Construction Financing - Miami / Florida - NADG Lands $120M to Build Rental on Farmland in Palm Beach County,80,DST-20260628-023,DFP-4DE3E44976,DCL-20260628-023,construction loan gap,Miami / Florida,Multifamily,Unknown,Unknown,Construction Financing - Miami / Florida - NADG Lands $120M to Build Rental on Farmland in Palm Beach County,55,Monitor,Construction Financing,"Track potential rescue capital, debt recapitalization, or capital partner opening",Monitor for repeated distress signals,NADG Lands $120M to Build Rental on Farmland in Palm Beach County,https://commercialobserver.com/2026/06/nadg-north-american-development-group-nuvo-delray-beach/,Low
