run_date,run_id,watchlist_id,canonical_project_id,canonical_project_name,market,submarket,gp_or_developer,residential_sector,latest_lifecycle_stage,opportunity_score,risk_score,overall_signal_quality_score,institutional_confidence_label,supporting_source_count,recurring_observation_count,strategic_theme,woomi_relevance,recommended_executive_action,supporting_evidence_summary
2026-06-28,20260628-000336-0274ba14,HCW-20260628-001,PRJ-20260628-0049,"Recapitalization - California - PEF Advisors, Freestone Capital Form JV to Recapitalize Affordable Properties",California,California,PEF Advisors,Affordable Housing,Refinancing / Recapitalization,63,27,94,Strong Institutional Signal,10,11,Refinancing opportunity,Priority Asset Watch,Review immediately,"10 source file(s), 11 observation(s), latest stage Refinancing / Recapitalization, identity confidence 100"
2026-06-28,20260628-000336-0274ba14,HCW-20260628-002,PRJ-20260628-0148,Refinancing - San Francisco / California - Mesa West Capital Joint Venture Provides $83M for Seattle Multifamily Apartment Community...,Unknown,San Francisco,CBRE,Apartment,Refinancing / Recapitalization,100,49,93,Strong Institutional Signal,5,5,Refinancing opportunity,Priority Asset Watch,Review immediately,"5 source file(s), 5 observation(s), latest stage Refinancing / Recapitalization, identity confidence 100"
2026-06-28,20260628-000336-0274ba14,HCW-20260628-003,PRJ-20260628-0158,"Refinancing - Florida - Berkadia Arranges $100.4M Refinancing for Office Campus in Palm Beach Gardens, Florida",Florida,Southeast,Berkadia,General Residential,Refinancing / Recapitalization,69,41,91,Strong Institutional Signal,4,4,Refinancing opportunity,Strategic Asset Watch,Review immediately,"4 source file(s), 4 observation(s), latest stage Refinancing / Recapitalization, identity confidence 100"
2026-06-28,20260628-000336-0274ba14,HCW-20260628-007,PRJ-20260628-0066,Refinancing - Houston / Texas - MMCC Arranges $54M HUD-Insured Loan for Refinancing of Metro Houston Apartment Community,Unknown,Houston,Marcus & Millichap,Apartment,Refinancing / Recapitalization,87,49,89,Strong Institutional Signal,4,4,Refinancing opportunity,Strategic Asset Watch,Review immediately,"4 source file(s), 4 observation(s), latest stage Refinancing / Recapitalization, identity confidence 100"
2026-06-28,20260628-000336-0274ba14,HCW-20260628-006,PRJ-20260628-0111,Refinancing - New York - 22-Property NJ Workforce Portfolio Refinanced for $38M,New York,New York,Unknown,Workforce Housing,Refinancing / Recapitalization,67,55,89,Strong Institutional Signal,7,7,Refinancing opportunity,Strategic Asset Watch,Review immediately,"7 source file(s), 7 observation(s), latest stage Refinancing / Recapitalization, identity confidence 80"
2026-06-28,20260628-000336-0274ba14,HCW-20260628-004,PRJ-20260628-0045,Refinancing - San Francisco / California - Mesa West Capital Joint Venture Provides $83M for Seattle Multifamily Apartment Community...,California,California,CBRE,Apartment,Unknown Stage,48,29,89,Strong Institutional Signal,9,24,Refinancing opportunity,Strategic Asset Watch,Review immediately,"9 source file(s), 24 observation(s), latest stage Unknown Stage, identity confidence 100"
2026-06-28,20260628-000336-0274ba14,HCW-20260628-005,PRJ-20260628-0048,General Project Signal - California - JLL Arranges $252M Financing for Huntington Beach Seniors Project,California,California,JLL,Senior Housing,Unknown Stage,47,29,89,Strong Institutional Signal,9,11,LA urban infill opportunity,Strategic Asset Watch,Review immediately,"9 source file(s), 11 observation(s), latest stage Unknown Stage, identity confidence 100"
2026-06-28,20260628-000336-0274ba14,HCW-20260628-008,PRJ-20260628-0059,"Refinancing - Florida - Berkadia Arranges $100.4M Refinancing for Office Campus in Palm Beach Gardens, Florida",Florida,Unknown,Berkadia,General Residential,Refinancing / Recapitalization,56,27,88,Strong Institutional Signal,6,9,Refinancing opportunity,Strategic Asset Watch,Review immediately,"6 source file(s), 9 observation(s), latest stage Refinancing / Recapitalization, identity confidence 100"
2026-06-28,20260628-000336-0274ba14,HCW-20260628-009,PRJ-20260628-0096,Acquisition - Miami / Florida - Waterton Purchases 358-Unit Apartment Community in South Florida for $80.5M,Miami / Florida,Unknown,Waterton,Apartment,Site Acquisition / Site Control,42,36,88,Strong Institutional Signal,5,7,Institutional capital movement,Strategic Asset Watch,Review immediately,"5 source file(s), 7 observation(s), latest stage Site Acquisition / Site Control, identity confidence 100"
2026-06-28,20260628-000336-0274ba14,HCW-20260628-010,PRJ-20260628-0037,"Acquisition - Atlanta / Georgia - Developer Buys Land Near Charlotte Transit Station, Apartments on Way",Atlanta / Georgia,Atlanta,Unknown,Mixed-Use Residential,Site Acquisition / Site Control,48,37,87,Strong Institutional Signal,4,7,LA urban infill opportunity,Priority Asset Watch,Review immediately,"4 source file(s), 7 observation(s), latest stage Site Acquisition / Site Control, identity confidence 80"
2026-06-28,20260628-000336-0274ba14,HCW-20260628-011,PRJ-20260628-0157,Development Start - Miami / Florida - Related Urban Starts Work on $167M S. Miami Affordable Housing Venture,Unknown,South Florida,Unknown,Affordable Housing,Vertical Construction,95,44,86,Strong Institutional Signal,3,12,Construction start pipeline,Priority Asset Watch,Review immediately,"3 source file(s), 12 observation(s), latest stage Vertical Construction, identity confidence 80"
2026-06-28,20260628-000336-0274ba14,HCW-20260628-012,PRJ-20260628-0050,General Project Signal - California - Newsom Signs Bill Putting $11B Housing Bond on November Ballot,California,California,Unknown,Apartment,Refinancing / Recapitalization,85,64,86,Strong Institutional Signal,7,15,Refinancing opportunity,Priority Asset Watch,Review immediately,"7 source file(s), 15 observation(s), latest stage Refinancing / Recapitalization, identity confidence 80"
2026-06-28,20260628-000336-0274ba14,HCW-20260628-013,PRJ-20260628-0114,Construction Financing - Sun Belt - S3 Capital Lends $101M on Luxury Resort Project Near Orlando,Sun Belt,Orlando,Unknown,General Residential,Site Acquisition / Site Control,65,40,86,Strong Institutional Signal,4,4,Construction start pipeline,Strategic Asset Watch,Review immediately,"4 source file(s), 4 observation(s), latest stage Site Acquisition / Site Control, identity confidence 80"
2026-06-28,20260628-000336-0274ba14,HCW-20260628-015,PRJ-20260628-0126,Disposition / Exit - Other / Unknown - Marcus & Millichap Arranges Sale of 130-Unit Multifamily Rental Community Near Charleston,Unknown,Unknown,Marcus & Millichap,Apartment,Unknown Stage,81,30,84,Institutional Watch,7,12,Institutional capital movement,Strategic Asset Watch,Monitor sponsor relationship,"7 source file(s), 12 observation(s), latest stage Unknown Stage, identity confidence 100"
2026-06-28,20260628-000336-0274ba14,HCW-20260628-014,PRJ-20260628-0085,Entitlement / Permitting - Los Angeles / California - Affordable housing under constructiona t 1740 N. Wilton Place in Hollywood,Los Angeles / California,Los Angeles,Unknown,Affordable Housing,Site Acquisition / Site Control,49,36,84,Institutional Watch,4,12,Entitlement progression,Priority Asset Watch,Track entitlement progression,"4 source file(s), 12 observation(s), latest stage Site Acquisition / Site Control, identity confidence 80"
2026-06-28,20260628-000336-0274ba14,HCW-20260628-016,PRJ-20260628-0154,Acquisition - Miami / Florida - Waterton Purchases 358-Unit Apartment Community in South Florida for $80.5M,Unknown,South Florida,Waterton,Apartment,Unknown Stage,85,31,83,Institutional Watch,4,4,Institutional capital movement,Strategic Asset Watch,Monitor sponsor relationship,"4 source file(s), 4 observation(s), latest stage Unknown Stage, identity confidence 100"
2026-06-28,20260628-000336-0274ba14,HCW-20260628-018,PRJ-20260628-0081,General Project Signal - Los Angeles / California - Affordable housing on the rise at 1405 S. Broadway in DTLA,California,Los Angeles,Related Companies,Affordable Housing,Unknown Stage,98,31,82,Institutional Watch,5,5,LA urban infill opportunity,Priority Asset Watch,Monitor sponsor relationship,"5 source file(s), 5 observation(s), latest stage Unknown Stage, identity confidence 100"
2026-06-28,20260628-000336-0274ba14,HCW-20260628-017,PRJ-20260628-0039,"Acquisition - Atlanta / Georgia - Developer Buys Land Near Charlotte Transit Station, Apartments on Way",Unknown,Atlanta,Unknown,Apartment,Site Acquisition / Site Control,91,55,82,Institutional Watch,3,6,LA urban infill opportunity,Priority Asset Watch,Maintain on strategic radar,"3 source file(s), 6 observation(s), latest stage Site Acquisition / Site Control, identity confidence 80"
2026-06-28,20260628-000336-0274ba14,HCW-20260628-019,PRJ-20260628-0137,General Project Signal - New York City / New York - Tishman Speyer’s TS Communities Lines Up Funds for Next Phase of Edgemere Commons,Unknown,Queens,Tishman Speyer,Apartment,Unknown Stage,78,30,82,Institutional Watch,4,4,Institutional capital movement,Strategic Asset Watch,Monitor sponsor relationship,"4 source file(s), 4 observation(s), latest stage Unknown Stage, identity confidence 100"
2026-06-28,20260628-000336-0274ba14,HCW-20260628-020,PRJ-20260628-0133,Acquisition - Phoenix / Arizona - Alliance Sells Phoenix Apartments for $81.4M,Unknown,Phoenix,Alliance Residential,Apartment,Unknown Stage,71,30,82,Institutional Watch,4,4,Institutional capital movement,Strategic Asset Watch,Monitor sponsor relationship,"4 source file(s), 4 observation(s), latest stage Unknown Stage, identity confidence 100"
2026-06-28,20260628-000336-0274ba14,HCW-20260628-021,PRJ-20260628-0078,General Project Signal - Los Angeles / California - 100 rental townhomes deput at 1771 Blake Ave. in Frogtown,Los Angeles / California,Los Angeles,Greystar,Apartment,Unknown Stage,50,31,80,Institutional Watch,4,4,LA urban infill opportunity,Strategic Asset Watch,Monitor sponsor relationship,"4 source file(s), 4 observation(s), latest stage Unknown Stage, identity confidence 100"
