run_date,run_id,run_timestamp,la_submarket,article_count,deal_count,entitlement_signal_count,opportunity_count,distress_signal_count,timing_signal_count,residential_sector_focus,entitlement_theme,site_strategy_theme,local_gp_or_developer,project_or_deal_reference,la_opportunity_score,la_execution_risk_score,entitlement_precedent_signal,potential_woomi_site_strategy,recommended_local_follow_up,confidence_level
2026-05-26,20260526-081038-35a22dfb,2026-05-26 08:10:38,Los Angeles,7,3,5,2,1,3,General Residential,Entitlement Approval,Adaptive reuse corridor,Unknown,"Adaptive reuse planned for Westwood office tower at 10900 Wilshire Blvd.; Affordable housing takes shape at 101 Pacific Coast Hwy. in Long Beach; Affordable housing unwrapped at 611 S. Hobart Blvd. in Koreatown; AvalonBay, Equity Residential Strike Largest REIT Merger In U.S. History; Developer revives plan for Best Western hotel at 2645 S. Western Ave. in Jefferson Park",100,60,Yes,DTLA adaptive reuse watch,Track local planning docket and entitlement precedent,High
2026-05-26,20260526-081038-35a22dfb,2026-05-26 08:10:38,Koreatown,1,1,1,1,0,1,Affordable Housing,Entitlement Approval,General submarket monitoring,Unknown,Affordable housing unwrapped at 611 S. Hobart Blvd. in Koreatown; Entitlement / Permitting - California - Affordable housing unwrapped at 611 S. Hobart Blvd. in Koreatown,70,52,Yes,Koreatown multifamily watch,Track local planning docket and entitlement precedent,Medium
2026-05-26,20260526-081038-35a22dfb,2026-05-26 08:10:38,Wilshire,2,1,1,1,0,1,Office-to-Residential Conversion,Office-to-Residential Conversion,Adaptive reuse corridor; Office conversion corridor,Unknown,Adaptive reuse planned for Westwood office tower at 10900 Wilshire Blvd.; Affordable housing unwrapped at 611 S. Hobart Blvd. in Koreatown; Office-to-Residential Conversion - Los Angeles - Adaptive reuse planned for Westwood office tower at 10900 Wilshire Blvd.,69,55,Yes,Koreatown multifamily watch,Track local planning docket and entitlement precedent,Medium
2026-05-26,20260526-081038-35a22dfb,2026-05-26 08:10:38,Santa Ana,1,1,0,1,1,1,Apartment,General Entitlement Signal,General submarket monitoring,Unknown,Construction Financing - California - JLL Lines Up $144M Construction Loan for Santa Ana Multifamily; JLL Lines Up $144M Construction Loan for Santa Ana Multifamily,65,57,No,Orange County suburban apartment watch,Review potential acquisition pipeline,Medium
2026-05-26,20260526-081038-35a22dfb,2026-05-26 08:10:38,Anaheim,1,1,0,1,1,1,General Residential,General Entitlement Signal,General submarket monitoring,Unknown,Anaheim Industrial Outdoor Storage Site Secures Bridge Loan; General Project Signal - California - Anaheim Industrial Outdoor Storage Site Secures Bridge Loan,63,52,No,Orange County suburban apartment watch,Review potential acquisition pipeline,Medium
2026-05-26,20260526-081038-35a22dfb,2026-05-26 08:10:38,Echo Park,1,1,0,1,0,0,Apartment,General Entitlement Signal,General submarket monitoring,Unknown,Avison Young Markets Echo Park Multifamily Portfolio; Disposition / Exit - Los Angeles - Avison Young Markets Echo Park Multifamily Portfolio,58,30,No,Monitor only,Review potential acquisition pipeline,Medium
2026-05-26,20260526-081038-35a22dfb,2026-05-26 08:10:38,Long Beach,1,1,0,1,0,0,Affordable Housing,General Entitlement Signal,General submarket monitoring,Unknown,Affordable housing takes shape at 101 Pacific Coast Hwy. in Long Beach; General Project Signal - California - Affordable housing takes shape at 101 Pacific Coast Hwy. in Long Beach,58,30,No,Long Beach mixed-use residential watch,Review potential acquisition pipeline,Medium
2026-05-26,20260526-081038-35a22dfb,2026-05-26 08:10:38,California,0,3,0,0,0,0,Apartment,General Entitlement Signal,General submarket monitoring,Unknown,Acquisition - California - Hudson Valley Property Group Expands California Presence with Elk Grove Acquisition; Disposition / Exit - California - Northmarq: Multifamily Sale Serves as Benchmark for Fresno Market; General Project Signal - California - JLL Arranges $252M Financing for Huntington Beach Seniors Project,24,20,No,Monitor only,Monitor only,Low
2026-05-26,20260526-081038-35a22dfb,2026-05-26 08:10:38,Irvine,1,0,0,0,0,0,Apartment,General Entitlement Signal,General submarket monitoring,Unknown,Bascom Arizona Ventures Buys Multifamily Community in Tucson for $45.5M,12,30,No,Orange County suburban apartment watch,Monitor only,Low
2026-05-26,20260526-081038-35a22dfb,2026-05-26 08:10:38,Orange County,3,0,0,0,0,0,Apartment,General Entitlement Signal,General submarket monitoring,Unknown,Anaheim Industrial Outdoor Storage Site Secures Bridge Loan; JLL Arranges $252M Financing for Huntington Beach Seniors Project; JLL Lines Up $144M Construction Loan for Santa Ana Multifamily,12,30,No,Orange County suburban apartment watch,Monitor only,Low
2026-05-26,20260526-081038-35a22dfb,2026-05-26 08:10:38,Santa Monica,1,0,0,0,0,0,Mixed-Use Residential,General Entitlement Signal,Mixed-use corridor,Unknown,Fresh renderings for mixed-use project at 3205 Ocean Park Blvd. in Santa Monica,12,30,No,Monitor only,Monitor only,Low
