run_date,run_id,card_id,card_type,card_title,card_priority,card_score,market,residential_sector,gp_or_developer,summary,why_it_matters,recommended_action,source_report,source_url_if_available
2026-08-29,20260829-040317-63789372,CARD-20260829-035,Capital Flow,Acquires 280-Unit Buckhead Apartment Community ParkProperty Capital,Critical,100,Acquires 280-Unit Buckhead Apartment Community ParkProperty Capital,Apartment,Acquires 280-Unit Buckhead Apartment Community ParkProperty Capital,Stable,"Capital-flow memory can identify repeated lenders, refinancing stress, and capital concentration.",Track capital flow pattern and related relationships,capital_flow_report.md,
2026-08-29,20260829-040317-63789372,CARD-20260829-020,LA Asset Watch,Acquisition - California - Vivmark Merger Triggers $742M in Bay Area Apartment Acquisitions,Critical,100,Los Angeles,Apartment,AvalonBay,Track local sponsor activity,LA / Southern California project-level watch item.,"Review parcel clue, entitlement path, sponsor, and comparable sites",la_asset_watch_report.md,https://www.connectcre.com/stories/vivmark-merger-triggers-742m-in-bay-area-apartment-acquisitions/
2026-08-29,20260829-040317-63789372,CARD-20260829-036,Capital Flow,Affinius Capital,Critical,100,Affinius Capital,Apartment,Affinius Capital,Stable,"Capital-flow memory can identify repeated lenders, refinancing stress, and capital concentration.",Track capital flow pattern and related relationships,capital_flow_report.md,
2026-08-29,20260829-040317-63789372,CARD-20260829-037,Capital Flow,Alliance Residential,Critical,100,Alliance Residential,Apartment,Alliance Residential,Fading,"Capital-flow memory can identify repeated lenders, refinancing stress, and capital concentration.",Track capital flow pattern and related relationships,capital_flow_report.md,
2026-08-29,20260829-040317-63789372,CARD-20260829-018,LA Asset Watch,Development Start - Los Angeles / California - Affordable housing starts to rise at 216 S. Avenue 24 in Lincoln Heights,Critical,100,Los Angeles,Affordable Housing,Unknown,Benchmark density bonus use,LA / Southern California project-level watch item.,"Track entitlement docket, density bonus use, and affordability requirement",la_asset_watch_report.md,https://la.urbanize.city/post/affordable-housing-starts-rise-216-s-avenue-24-lincoln-heights
2026-08-29,20260829-040317-63789372,CARD-20260829-019,LA Asset Watch,Entitlement / Permitting - Los Angeles / California - Affordable housing complex underway at 708 S. Gramercy Dr. in Koreatown,Critical,100,Los Angeles,Affordable Housing,Unknown,Benchmark density bonus use,LA / Southern California project-level watch item.,"Track entitlement docket, density bonus use, and affordability requirement",la_asset_watch_report.md,https://la.urbanize.city/post/affordable-housing-complex-underway-708-s-gramercy-dr-koreatown
2026-08-29,20260829-040317-63789372,CARD-20260829-016,LA Asset Watch,Refinancing - California - Greystone Provides Fannie Mae Refi on San Diego Mixed-Income,Critical,100,Los Angeles,Affordable Housing,Greystone,Review acquisition comparables,LA / Southern California project-level watch item.,"Review parcel clue, entitlement path, sponsor, and comparable sites",la_asset_watch_report.md,https://www.connectcre.com/stories/greystone-provides-fannie-mae-refi-on-san-diego-mixed-income/
2026-08-29,20260829-040317-63789372,CARD-20260829-017,LA Asset Watch,Refinancing - Los Angeles / California - Bascom Refis Historic Apartments in LA’s Westlake District,Critical,100,Los Angeles,Apartment,Bascom Group,Review acquisition comparables,LA / Southern California project-level watch item.,"Track lender, maturity, owner, and recapitalization path",la_asset_watch_report.md,https://www.connectcre.com/stories/bascom-refis-historic-apartments-in-las-westlake-district/
2026-08-29,20260829-040317-63789372,CARD-20260829-001,Signal Quality,"JV / Partnership - California - JV of Affinius, Alliance Residential Divests NorCal Seniors Housing Duo",Critical,97,California,Senior Housing,Alliance Residential,"9 source file(s), 11 observation(s), latest stage Delivery / Opening, identity confidence 100",High-confidence calibrated signal with multi-layer support.,Review immediately,high_confidence_watchlist_report.md,
2026-08-29,20260829-040317-63789372,CARD-20260829-002,Signal Quality,Refinancing - Los Angeles / California - Bascom Refis Historic Apartments in LA’s Westlake District,Critical,95,California,Apartment,Bascom Group,"6 source file(s), 6 observation(s), latest stage Delivery / Opening, identity confidence 100",High-confidence calibrated signal with multi-layer support.,Review immediately,high_confidence_watchlist_report.md,
2026-08-29,20260829-040317-63789372,CARD-20260829-006,Opportunity,Refinancing Gap,Critical,95,California,Affordable Housing,Greystone,"Refinancing Gap may create a pricing, capital, partnership, or pipeline opening in California.","Evaluate LA / California entitlement, zoning, or local GP partnership relevance",Add to executive opportunity review,opportunity_radar_report.md,https://www.connectcre.com/stories/greystone-provides-fannie-mae-refi-on-san-diego-mixed-income/
2026-08-29,20260829-040317-63789372,CARD-20260829-007,Opportunity,Acquisition Opportunity,Critical,94,California,Apartment,AvalonBay,"Acquisition Opportunity may create a pricing, capital, partnership, or pipeline opening in California.","Evaluate LA / California entitlement, zoning, or local GP partnership relevance",Add to executive opportunity review,opportunity_radar_report.md,https://www.connectcre.com/stories/vivmark-merger-triggers-742m-in-bay-area-apartment-acquisitions/
2026-08-29,20260829-040317-63789372,CARD-20260829-003,Signal Quality,JV / Partnership - California - 408 apartments rise at 2828 N. MainPlace Dr. in Santa Ana,Critical,94,California,Apartment,Affinius Capital,"6 source file(s), 7 observation(s), latest stage Vertical Construction, identity confidence 100",High-confidence calibrated signal with multi-layer support.,Review immediately,high_confidence_watchlist_report.md,
2026-08-29,20260829-040317-63789372,CARD-20260829-004,Signal Quality,"JV / Partnership - California - Rockpoint, Holland Partner Group to Develop 311-Unit Multifamily Project in San Jose, Cali...",Critical,93,California,Apartment,Holland Partner Group,"8 source file(s), 11 observation(s), latest stage Site Acquisition / Site Control, identity confidence 100",High-confidence calibrated signal with multi-layer support.,Review immediately,high_confidence_watchlist_report.md,
2026-08-29,20260829-040317-63789372,CARD-20260829-005,Signal Quality,Refinancing - California - Greystone Provides Fannie Mae Refi on San Diego Mixed-Income,Critical,93,California,Affordable Housing,Greystone,"10 source file(s), 15 observation(s), latest stage Refinancing / Recapitalization, identity confidence 100",High-confidence calibrated signal with multi-layer support.,Review immediately,high_confidence_watchlist_report.md,
2026-08-29,20260829-040317-63789372,CARD-20260829-008,Opportunity,JV / Partnership Gap,Critical,92,California,Senior Housing,Alliance Residential,"JV / Partnership Gap may create a pricing, capital, partnership, or pipeline opening in California.","Evaluate LA / California entitlement, zoning, or local GP partnership relevance",Add to executive opportunity review,opportunity_radar_report.md,https://www.connectcre.com/stories/jv-of-affinius-alliance-residential-divests-norcal-seniors-housing-duo/
2026-08-29,20260829-040317-63789372,CARD-20260829-009,Opportunity,JV / Partnership Gap,Critical,92,California,Apartment,Fannie Mae,"JV / Partnership Gap may create a pricing, capital, partnership, or pipeline opening in California.","Evaluate LA / California entitlement, zoning, or local GP partnership relevance",Add to executive opportunity review,opportunity_radar_report.md,https://www.connectcre.com/stories/newmark-arranges-fannie-mae-loan-on-san-clemente-active-adult/
2026-08-29,20260829-040317-63789372,CARD-20260829-026,Market Entry Window,California,Critical,91,California,90,Unknown,Active Watch Window,active opportunity radar signals; possible distress or recapitalization watch; capital-flow or institutional activity signal; core Woomi California / LA strategic relevance,Actively source opportunities,market_entry_window_report.md,
2026-08-29,20260829-040317-63789372,CARD-20260829-010,Opportunity,JV / Partnership Gap,Critical,90,California,Apartment,IPA,"JV / Partnership Gap may create a pricing, capital, partnership, or pipeline opening in California.","Evaluate LA / California entitlement, zoning, or local GP partnership relevance",Add to executive opportunity review,opportunity_radar_report.md,https://www.connectcre.com/stories/jv-acquires-value-add-escondido-multifamily/
2026-08-29,20260829-040317-63789372,CARD-20260829-021,GP Watch,Fannie Mae,Critical,81,California,Apartment,Fannie Mae,Institutional-backed regional expansion,Potential GP partnership candidate,Track JV and capital partner activity,gp_watchlist_report.md,
2026-08-29,20260829-040317-63789372,CARD-20260829-033,Lifecycle Watch,JV / Partnership - California - 408 apartments rise at 2828 N. MainPlace Dr. in Santa Ana,Critical,80,California,Apartment,Affinius Capital,Same Stage Persistence,Lifecycle transition affects timing and project execution confidence.,Monitor for another run to confirm lifecycle direction,lifecycle_transition_report.md,https://la.urbanize.city/post/408-apartments-rise-2828-n-mainplace-dr-santa-ana
2026-08-29,20260829-040317-63789372,CARD-20260829-034,Lifecycle Watch,"JV / Partnership - California - JV of Affinius, Alliance Residential Divests NorCal Seniors Housing Duo",Critical,80,California,Senior Housing,Alliance Residential,Mature / Operating,Lifecycle transition affects timing and project execution confidence.,"Use as delivery, lease-up, and underwriting benchmark",lifecycle_transition_report.md,https://www.connectcre.com/stories/jv-of-affinius-alliance-residential-divests-norcal-seniors-housing-duo/
2026-08-29,20260829-040317-63789372,CARD-20260829-022,GP Watch,Partnership,Critical,80,Riverside / California,Multifamily,Partnership,California / LA strategic positioning,Potential GP partnership candidate,Track JV and capital partner activity,gp_watchlist_report.md,
2026-08-29,20260829-040317-63789372,CARD-20260829-032,Lifecycle Watch,Refinancing - Los Angeles / California - Bascom Refis Historic Apartments in LA’s Westlake District,Critical,80,California,Apartment,Bascom Group,Mature / Operating,Lifecycle transition affects timing and project execution confidence.,"Use as delivery, lease-up, and underwriting benchmark",lifecycle_transition_report.md,https://www.connectcre.com/stories/bascom-refis-historic-apartments-in-las-westlake-district/
2026-08-29,20260829-040317-63789372,CARD-20260829-011,Distress,refinancing stress,Critical,80,California,Affordable Housing,Greystone,Refinancing; refinancing,"Evaluate LA / California entitlement, zoning, or local GP partnership relevance","Track debt maturity, lender exposure, sponsor stress, and recapitalization options",distress_watchlist_report.md,https://www.connectcre.com/stories/greystone-provides-fannie-mae-refi-on-san-diego-mixed-income/
